country_id,sus_indicator_id,year,indicator_value,source_note
91,1,2017,99.5,WDI Data
91,3,2017,100.0,WDI Data
91,4,2015,0.0,WDI Data
91,7,2016,11.7,WDI Data
91,10,2018,0.1,WDI Data
91,12,2017,80.5,WDI Data
92,1,2017,56.0,WDI Data
92,3,2017,93.3,WDI Data
92,4,2015,63.7,WDI Data
92,5,2015,0.0,WDI Data
92,6,2014,34.5,WDI Data
92,7,2016,23.8,WDI Data
92,8,2017,1.9,WDI Data
92,9,2014,1.2,WDI Data
92,10,2018,10.1,WDI Data
92,11,2015,29.4,WDI Data
92,12,2017,65.0,WDI Data
94,3,2017,35.4,WDI Data
94,4,2015,76.3,WDI Data
94,6,2014,43.3,WDI Data
94,7,2016,24.8,WDI Data
94,8,2017,-6.5,WDI Data
94,9,2014,0.2,WDI Data
94,10,2018,24.8,WDI Data
94,12,2017,18.0,WDI Data
95,3,2017,26.0,WDI Data
95,4,2015,86.9,WDI Data
95,6,2014,82.3,WDI Data
95,7,2016,29.6,WDI Data
95,8,2017,-11.0,WDI Data
95,9,2014,0.2,WDI Data
95,10,2018,11.6,WDI Data
95,11,2015,2.7,WDI Data
95,12,2017,3.9,WDI Data
96,3,2017,90.9,WDI Data
96,4,2015,25.3,WDI Data
96,6,2014,33.1,WDI Data
96,7,2016,22.4,WDI Data
96,8,2017,14.1,WDI Data
96,9,2014,2.6,WDI Data
96,10,2018,5.3,WDI Data
96,11,2015,19.4,WDI Data
96,12,2017,37.3,WDI Data
97,3,2017,43.8,WDI Data
97,4,2015,76.1,WDI Data
97,6,2014,74.4,WDI Data
97,7,2016,15.1,WDI Data
97,8,2017,17.6,WDI Data
97,9,2014,0.3,WDI Data
97,10,2018,0.4,WDI Data
97,11,2015,10.0,WDI Data
97,12,2017,12.3,WDI Data
100,3,2017,86.5,WDI Data
100,4,2015,51.5,WDI Data
100,5,2015,0.0,WDI Data
100,6,2014,27.5,WDI Data
100,7,2016,21.1,WDI Data
100,8,2017,19.5,WDI Data
100,9,2014,1.1,WDI Data
100,10,2018,10.9,WDI Data
100,11,2015,57.5,WDI Data
100,12,2017,31.7,WDI Data
102,1,2017,89.6,WDI Data
102,2,2017,95.7,WDI Data
102,3,2017,100.0,WDI Data
102,4,2015,15.6,WDI Data
102,5,2015,1.4,WDI Data
102,7,2016,15.9,WDI Data
102,8,2017,13.2,WDI Data
102,9,2014,4.3,WDI Data
102,10,2018,22.6,WDI Data
102,11,2015,2.3,WDI Data
102,12,2017,76.8,WDI Data
103,1,2017,100.0,WDI Data
103,2,2017,81.8,WDI Data
103,3,2017,100.0,WDI Data
103,4,2015,77.0,WDI Data
103,5,2015,2.1,WDI Data
103,7,2016,6.6,WDI Data
103,8,2017,16.6,WDI Data
103,9,2014,6.1,WDI Data
103,10,2018,2.5,WDI Data
103,11,2015,0.9,WDI Data
103,12,2017,98.3,WDI Data
104,3,2017,92.6,WDI Data
104,4,2015,36.0,WDI Data
104,5,2015,0.6,WDI Data
104,6,2014,24.0,WDI Data
104,7,2016,89.7,WDI Data
104,8,2017,16.3,WDI Data
104,9,2014,1.7,WDI Data
104,10,2018,3.5,WDI Data
104,11,2015,3.4,WDI Data
104,12,2017,34.5,WDI Data
105,3,2017,98.1,WDI Data
105,4,2015,36.9,WDI Data
105,5,2015,0.2,WDI Data
